nr,Name,Rating_S&P,Trading_Economics,id_Rating
178,Saint Lucia,nr,nr,178
179,Saint Vincent and the Grenadines,nr,nr,179
180,Sudan,nr,nr,180
181,Zimbabwe,nr,nr,181
78,Lesotho,nr,30,78
79,Liechtenstein,AAA,100,79
80,Lithuania,A+,76,80
81,Luxembourg,AAA,100,81
82,Macau,nr,87,82
83,Macedonia,BB-,45,83
84,Madagascar,B-,25,84
85,Malaysia,A-,68,85
86,Maldives,nr,22,86
87,Mali,nr,15,87
88,Malta,A-,75,88
89,Mauritius,nr,60,89
90,Mexico,BBB,60,90
91,Moldova,nr,25,91
92,Mongolia,B,28,92
93,Montenegro,B,35,93
94,Montserrat,BBB-,55,94
95,Morocco,BB+,50,95
96,Mozambique,CCC+,18,96
97,Namibia,nr,40,97
98,Netherlands,AAA,100,98
99,New Zealand,AA+,95,99
100,Nicaragua,B,25,100
101,Niger,nr,nr,101
102,Nigeria,B-,23,102
103,Norway,AAA,99,103
104,Oman,BB,41,104
105,Pakistan,CCC+,23,105
106,Panama,BBB,58,106
107,Papua New Guinea,B-,27,107
108,Paraguay,BB,48,108
109,Peru,BBB,61,109
110,Philippines,BBB+,61,110
111,Poland,A-,71,111
112,Portugal,BBB+,72,112
113,Puerto Rico,D,0,113
114,Qatar,AA,85,114
115,Republic of the Congo,CCC+,18,115
116,Romania,BBB-,55,116
117,Russia,nr,14,117
118,Rwanda,B+,33,118
119,San Marino,nr,50,119
120,Saudi Arabia,A-,75,120
121,Senegal,B+,37,121
122,Serbia,BB+,48,122
123,Seychelles,nr,35,123
124,Singapore,AAA,98,124
125,Slovakia,A+,76,125
126,Slovenia,AA-,75,126
127,Solomon Islands,nr,25,127
128,South Africa,BB-,41,128
129,South Korea,AA,86,129
130,Spain,A,71,130
131,Sri Lanka,SD,11,131
132,St Vincent and the Grenadines,nr,25,132
133,Suriname,SD,15,133
134,Swaziland,nr,30,134
135,Sweden,AAA,99,135
136,Switzerland,AAA,100,136
137,Taiwan,AA+,90,137
138,Tajikistan,B-,25,138
139,Tanzania,nr,30,139
140,Thailand,BBB+,65,140
141,Togo,B,30,141
142,Trinidad and Tobago,BBB-,50,142
143,Tunisia,N/A,23,143
144,Turkey,B,30,144
145,Turkmenistan,nr,nr,145
146,Uganda,B,31,146
147,Ukraine,CCC+,12,147
148,United Arab Emirates,AA,90,148
149,United Kingdom,AA,90,149
150,United States,AA+,98,150
151,Uruguay,BBB,55,151
152,Uzbekistan,BB-,38,152
153,Venezuela,N/A,11,153
154,Vietnam,BB+,45,154
155,Zambia,SD,30,155
156,Afghanistan,nr,nr,156
157,Bhutan,nr,nr,157
158,Nepal,nr,nr,158
159,Burundi,nr,nr,159
160,Central African Republic,nr,nr,160
161,Chad,nr,nr,161
162,Comoros,nr,nr,162
163,Democratic Republic of the Congo,nr,nr,163
164,Dominica,nr,nr,164
165,Eritrea,nr,nr,165
166,Eswatini,nr,nr,166
167,Gambia,nr,nr,167
168,Guinea,nr,nr,168
169,Guinea-Bissau,nr,nr,169
170,Guyana,nr,nr,170
171,Haiti,nr,nr,171
172,Liberia,nr,nr,172
173,Malawi,nr,nr,173
174,Mauritania,nr,nr,174
175,Sao Tome and Principe,nr,nr,175
176,Sierra Leone,nr,nr,176
177,Somalia,nr,nr,177
178,Saint Lucia,nr,nr,178
179,Saint Vincent and the Grenadines,nr,nr,179
180,Sudan,nr,nr,180
181,Zimbabwe,nr,nr,181
